Year Month,Zone_ZipCode,Customer Class,Water_Demand_Gallons,Year,Month,Avg_Temp_F,Total_Precip_Inches,Avg_Humidity,Date,Month_Sin,Month_Cos,Season,Zone_Encoded,Class_Encoded,Season_Encoded
201201,78613,Irrigation - Multi-Family,11000.0,2012,1,54.32903225806452,5.206,63.57096774193548,2012-01-01,0.49999999999999994,0.8660254037844387,Winter,1,0,3
201201,78745,Irrigation - Residential,10500.0,2012,1,54.32903225806452,5.206,63.57096774193548,2012-01-01,0.49999999999999994,0.8660254037844387,Winter,34,1,3
201201,78745,Multi-Family,34553100.0,2012,1,54.32903225806452,5.206,63.57096774193548,2012-01-01,0.49999999999999994,0.8660254037844387,Winter,34,2,3
201201,78745,Irrigation - Multi-Family,848100.0,2012,1,54.32903225806452,5.206,63.57096774193548,2012-01-01,0.49999999999999994,0.8660254037844387,Winter,34,0,3
201201,78745,Residential,74992300.0,2012,1,54.32903225806452,5.206,63.57096774193548,2012-01-01,0.49999999999999994,0.8660254037844387,Winter,34,3,3
201201,78746,Multi-Family,13458100.0,2012,1,54.32903225806452,5.206,63.57096774193548,2012-01-01,0.49999999999999994,0.8660254037844387,Winter,35,2,3
201201,78746,Irrigation - Multi-Family,373500.0,2012,1,54.32903225806452,5.206,63.57096774193548,2012-01-01,0.49999999999999994,0.8660254037844387,Winter,35,0,3
201201,78744,Residential,52127200.0,2012,1,54.32903225806452,5.206,63.57096774193548,2012-01-01,0.49999999999999994,0.8660254037844387,Winter,33,3,3
201201,78746,Irrigation - Residential,191800.0,2012,1,54.32903225806452,5.206,63.57096774193548,2012-01-01,0.49999999999999994,0.8660254037844387,Winter,35,1,3
201201,78747,Residential,20672300.0,2012,1,54.32903225806452,5.206,63.57096774193548,2012-01-01,0.49999999999999994,0.8660254037844387,Winter,36,3,3
201201,78747,Multi-Family,6527900.0,2012,1,54.32903225806452,5.206,63.57096774193548,2012-01-01,0.49999999999999994,0.8660254037844387,Winter,36,2,3
201201,78747,Irrigation - Multi-Family,155300.0,2012,1,54.32903225806452,5.206,63.57096774193548,2012-01-01,0.49999999999999994,0.8660254037844387,Winter,36,0,3
201201,78747,Irrigation - Residential,79900.0,2012,1,54.32903225806452,5.206,63.57096774193548,2012-01-01,0.49999999999999994,0.8660254037844387,Winter,36,1,3
201201,78748,Irrigation - Multi-Family,2642400.0,2012,1,54.32903225806452,5.206,63.57096774193548,2012-01-01,0.49999999999999994,0.8660254037844387,Winter,37,0,3
201201,78748,Multi-Family,14761900.0,2012,1,54.32903225806452,5.206,63.57096774193548,2012-01-01,0.49999999999999994,0.8660254037844387,Winter,37,2,3
201201,78746,Residential,24306500.0,2012,1,54.32903225806452,5.206,63.57096774193548,2012-01-01,0.49999999999999994,0.8660254037844387,Winter,35,3,3
201201,78748,Residential,62831800.0,2012,1,54.32903225806452,5.206,63.57096774193548,2012-01-01,0.49999999999999994,0.8660254037844387,Winter,37,3,3
201201,78744,Irrigation - Multi-Family,577000.0,2012,1,54.32903225806452,5.206,63.57096774193548,2012-01-01,0.49999999999999994,0.8660254037844387,Winter,33,0,3
201201,78744,Multi-Family,23982200.0,2012,1,54.32903225806452,5.206,63.57096774193548,2012-01-01,0.49999999999999994,0.8660254037844387,Winter,33,2,3
201201,78736,Irrigation - Multi-Family,260900.0,2012,1,54.32903225806452,5.206,63.57096774193548,2012-01-01,0.49999999999999994,0.8660254037844387,Winter,27,0,3
201201,78736,Multi-Family,3273900.0,2012,1,54.32903225806452,5.206,63.57096774193548,2012-01-01,0.49999999999999994,0.8660254037844387,Winter,27,2,3
201201,78736,Irrigation - Residential,2300.0,2012,1,54.32903225806452,5.206,63.57096774193548,2012-01-01,0.49999999999999994,0.8660254037844387,Winter,27,1,3
201201,78736,Residential,11172700.0,2012,1,54.32903225806452,5.206,63.57096774193548,2012-01-01,0.49999999999999994,0.8660254037844387,Winter,27,3,3
201201,78737,Irrigation - Residential,5200.0,2012,1,54.32903225806452,5.206,63.57096774193548,2012-01-01,0.49999999999999994,0.8660254037844387,Winter,28,1,3
201201,78737,Residential,4851600.0,2012,1,54.32903225806452,5.206,63.57096774193548,2012-01-01,0.49999999999999994,0.8660254037844387,Winter,28,3,3
201201,78744,Irrigation - Residential,2500.0,2012,1,54.32903225806452,5.206,63.57096774193548,2012-01-01,0.49999999999999994,0.8660254037844387,Winter,33,1,3
201201,78738,Residential,7500.0,2012,1,54.32903225806452,5.206,63.57096774193548,2012-01-01,0.49999999999999994,0.8660254037844387,Winter,29,3,3
201201,78741,Irrigation - Multi-Family,1931100.0,2012,1,54.32903225806452,5.206,63.57096774193548,2012-01-01,0.49999999999999994,0.8660254037844387,Winter,31,0,3
201201,78741,Irrigation - Residential,4600.0,2012,1,54.32903225806452,5.206,63.57096774193548,2012-01-01,0.49999999999999994,0.8660254037844387,Winter,31,1,3
201201,78741,Multi-Family,77110100.0,2012,1,54.32903225806452,5.206,63.57096774193548,2012-01-01,0.49999999999999994,0.8660254037844387,Winter,31,2,3
201201,78741,Residential,18864300.0,2012,1,54.32903225806452,5.206,63.57096774193548,2012-01-01,0.49999999999999994,0.8660254037844387,Winter,31,3,3
201201,78742,Multi-Family,387000.0,2012,1,54.32903225806452,5.206,63.57096774193548,2012-01-01,0.49999999999999994,0.8660254037844387,Winter,32,2,3
201201,78742,Residential,682500.0,2012,1,54.32903225806452,5.206,63.57096774193548,2012-01-01,0.49999999999999994,0.8660254037844387,Winter,32,3,3
201201,78739,Residential,31858900.0,2012,1,54.32903225806452,5.206,63.57096774193548,2012-01-01,0.49999999999999994,0.8660254037844387,Winter,30,3,3
201201,78735,Irrigation - Multi-Family,819400.0,2012,1,54.32903225806452,5.206,63.57096774193548,2012-01-01,0.49999999999999994,0.8660254037844387,Winter,26,0,3
201201,78749,Multi-Family,15270700.0,2012,1,54.32903225806452,5.206,63.57096774193548,2012-01-01,0.49999999999999994,0.8660254037844387,Winter,38,2,3
201201,78749,Irrigation - Residential,17300.0,2012,1,54.32903225806452,5.206,63.57096774193548,2012-01-01,0.49999999999999994,0.8660254037844387,Winter,38,1,3
201201,78756,Irrigation - Residential,24500.0,2012,1,54.32903225806452,5.206,63.57096774193548,2012-01-01,0.49999999999999994,0.8660254037844387,Winter,44,1,3
201201,78756,Irrigation - Multi-Family,76900.0,2012,1,54.32903225806452,5.206,63.57096774193548,2012-01-01,0.49999999999999994,0.8660254037844387,Winter,44,0,3
201201,78756,Residential,10387600.0,2012,1,54.32903225806452,5.206,63.57096774193548,2012-01-01,0.49999999999999994,0.8660254037844387,Winter,44,3,3
201201,78757,Residential,30837700.0,2012,1,54.32903225806452,5.206,63.57096774193548,2012-01-01,0.49999999999999994,0.8660254037844387,Winter,45,3,3
201201,78757,Multi-Family,13679100.0,2012,1,54.32903225806452,5.206,63.57096774193548,2012-01-01,0.49999999999999994,0.8660254037844387,Winter,45,2,3
201201,78757,Irrigation - Residential,36300.0,2012,1,54.32903225806452,5.206,63.57096774193548,2012-01-01,0.49999999999999994,0.8660254037844387,Winter,45,1,3
201201,78756,Multi-Family,6372400.0,2012,1,54.32903225806452,5.206,63.57096774193548,2012-01-01,0.49999999999999994,0.8660254037844387,Winter,44,2,3
